"Category Id";"Category Name"
"1029539";"Books, Movies and Music / Magazines / Entertainment"
"1029544";"Books, Movies and Music / Magazines / Fashion & Style"
"1029535";"Books, Movies and Music / Magazines / Health & Fitness"
"1029537";"Books, Movies and Music / Magazines / Home & Garden"
"1029543";"Books, Movies and Music / Magazines / Information Technology"
"1029536";"Books, Movies and Music / Magazines / Lifestyle & Cultures"
"1029538";"Books, Movies and Music / Magazines / Science Fiction & Fantasy"
"1029541";"Books, Movies and Music / Magazines / Sports & Leisure"
"1029505";"Books, Movies and Music / Religion / African Traditional Religion"
"1029503";"Books, Movies and Music / Religion / Christian Books & Bibles"
"1029504";"Books, Movies and Music / Religion / Islamic Books"
"1029506";"Books, Movies and Music / Religion / New Age"
"1029508";"Books, Movies and Music / Science & Technology / Medical"
"1029509";"Books, Movies and Music / Science & Technology / Nature"
"1029510";"Books, Movies and Music / Science & Technology / Science"
"1029511";"Books, Movies and Music / Science & Technology / Technology & Engineering"
"1029546";"Books, Movies and Music / Stationery / School Supplies"
"1001095";"Computing / Computer Accessories / Hard Drive Accessories"
"1001098";"Computing / Computer Accessories / Input Devices"
"1001119";"Computing / Computer Accessories / Memory Cards"
"1001128";"Computing / Computer Accessories / Monitor Accessories"
"1001133";"Computing / Computer Accessories / Printer Accessories"
"1001156";"Computing / Computer Accessories / Printer Ink & Toner"
"1001163";"Computing / Computer Accessories / Surge Protectors"
"1001168";"Computing / Computer Accessories / Uninterrupted Power Supply (UPS)"
"1001164";"Computing / Computer Accessories / USB Gadgets"
"1001264";"Computing / Computers & Accessories / Monitors"
"1001265";"Computing / Computers & Accessories / Networking Products"
"1001288";"Computing / Computers & Accessories / Scanners"
"1001293";"Computing / Computers & Accessories / Servers"
"1001360";"Computing / Software / Digital Software"
"1001483";"Computing / Software / Video"
"1003156";"Electronics / Accessories / Gadgets"
"1001836";"Electronics / Accessories & Supplies / GPS System Accessories"
"1001849";"Electronics / Accessories & Supplies / Microphones"
"1001875";"Electronics / Accessories & Supplies / Mounts"
"1002611";"Electronics / Audio / Accessories"
"1002618";"Electronics / Audio / Speakers"
"1001941";"Electronics / Camera & Photo / Digital Cameras"
"1001961";"Electronics / Camera & Photo / Lenses"
"1001969";"Electronics / Camera & Photo / Projectors"
"1002696";"Electronics / Cameras / Digital Photo Frames"
"1002709";"Electronics / Cameras / Photo Printer"
"1002014";"Electronics / Car & Vehicle Electronics / Aviation Electronics"
"1002110";"Electronics / Car & Vehicle Electronics / Powersports Electronics"
"1002192";"Electronics / Office Electronics / Calculators"
"1002221";"Electronics / Office Electronics / Point-of-Sale (POS) Equipment"
"1002227";"Electronics / Office Electronics / Presentation Products"
"1002239";"Electronics / Portable Audio & Video / CB & Two-Way Radios"
"1002268";"Electronics / Portable Audio & Video / Microcassette Recorders"
"1002269";"Electronics / Portable Audio & Video / MiniDisc Players"
"1002267";"Electronics / Portable Audio & Video / MP3 & MP4 Players"
"1002272";"Electronics / Portable Audio & Video / Portable DVD Players"
"1002273";"Electronics / Portable Audio & Video / Portable Speakers & Docks"
"1003143";"Electronics / Radios & Transceivers / CB & Ham Radio Accessories"
"1003142";"Electronics / Radios & Transceivers / Receivers"
"1003141";"Electronics / Radios & Transceivers / Repeaters"
"1002282";"Electronics / Security & Surveillance / Barking-Dog Alarms"
"1002283";"Electronics / Security & Surveillance / Biometrics"
"1002284";"Electronics / Security & Surveillance / Home Security Systems"
"1002285";"Electronics / Security & Surveillance / Horns & Sirens"
"1002286";"Electronics / Security & Surveillance / Motion Detectors"
"1002287";"Electronics / Security & Surveillance / Security Sensors"
"1002301";"Electronics / Television & Video / DVD-VCR Combos"
"1002822";"Electronics / Televisions & Recorders / Speakers & Sound Systems"
"1002322";"Electronics / Wearable Technology / Accessories"
"1002332";"Electronics / Wearable Technology / Baby Wearables"
